,STATION,LATITUDE,LONGITUDE
9061,COOP:049325,34.53333,-117.3
9086,COOP:049390,40.45,-121.86667
9151,COOP:049440,38.71667,-123.0
9209,COOP:049482,37.53333,-119.65
9257,COOP:049490,40.73333,-122.95
9333,COOP:049605,39.02778,-121.39111
9381,COOP:049666,34.01667,-118.08333
9418,COOP:049684,39.41667,-123.35
9497,COOP:049851,38.9,-123.23333
9530,COOP:049855,37.75,-119.58333
9585,COOP:049953,40.16667,-123.46667
4418,COOP:044712,38.48333,-122
6612,COOP:047342,40.9,-123.81667
121,COOP:040321,35.18333,-120.4
2365,COOP:043219,34.73333,-119.1
4947,COOP:046174,38.0,-120.48333
695,COOP:040927,33.61667,-114.71667
1265,COOP:041460,39.43333,-121.06667
3516,COOP:043647,40.48333,-123.91667
4023,COOP:044074,40.23333,-124.13333
4773,COOP:044883,39.88333,-123.71667
5877,COOP:045802,36.5925,-121.85417
6607,COOP:046513,41.3,-123.53333
614,COOP:040790,36.25,-121.78389
1595,COOP:041603,38.56444,-123.1625
5676,COOP:045242,40.31083,-123.37333
937,COOP:040823,37.36833,-118.36472
9198,COOP:046572,34.21139,-119.13861
5968,COOP:047292,40.15556,-122.25056
1939,COOP:042257,34.85361,-116.78583
4190,COOP:044749,34.74111,-118.21167
7151,COOP:047669,36.66361,-121.60806
3706,COOP:046118,34.7675,-114.61889
4036,COOP:046742,35.66972,-120.62833
8860,COOP:048762,38.89833,-119.99472
7778,COOP:047905,34.4258,-119.8425
8173,COOP:048200,35.97167,-116.27083
2795,COOP:043861,37.6542,-122.115
4039,COOP:045738,37.6241,-120.9505
5630,COOP:047735,34.7436,-118.7242
1340,COOP:041964,37.9917,-122.055
3673,COOP:044995,37.6927,-121.8144
3968,COOP:045388,39.10194,-121.56778
4455,COOP:046066,38.2102,-122.2847
6378,COOP:047971,38.5038,-122.8102
7310,COOP:049203,38.3775,-121.9575
